resort_id,resort_name,city,state_province,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,avg_annual_snowfall,ticket_price,Weather
405,Echo Valley,Chelan,Washington,3900,3000,900,70,6,4,0,30,
294,Brantling Ski Slopes,Sodus,New York,850,600,250,20,10,5,110,32,
120,Magic Mountain,Twin Falls,Idaho,7240,6540,700,120,11,4,230,33,
136,Camden Snow Bowl,Camden,Maine,1080,235,845,100,17,3,50,33,
342,Mount Pleasant of Edinboro,Edinboro,Pennsylvania,1550,1200,350,35,10,2,150,33,
2,Hilltop,Anchorage,Alaska,780,486,294,30,13,3,69,34,
190,Mount Holiday Ski and Recreational Area,Traverse City,Michigan,440,240,200,45,12,4,120,34,
194,Giants Ridge,Biwabik,Minnesota,1972,1472,500,202,35,7,85,34,
307,Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,230,40,5,192,34,
15,Canyon Ski Area,Red Deer,Alberta,2950,2412,538,80,23,6,45,35,
132,New Hermon Mountain,Bangor,Maine,450,150,300,70,20,3,90,35,
178,Snow Snake Mountain Ski Area,Harrison,Michigan,1230,1020,210,40,12,6,0,35,
286,McCauley Mountain Ski Center,Old Forge,New York,2280,1647,633,70,21,5,200,35,
314,Bottineau Winter Park,Bottineau,North Dakota,2450,2270,180,40,8,6,13,35,
315,Huff Hills,Mandan,North Dakota,2150,1725,425,0,21,3,40,35,
317,Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20,3,150,35,
332,Warner Canyon,Lakeview,Oregon,6003,5271,732,200,21,1,50,35,
404,Homestead Resort,Hot Springs,Virginia,3200,2500,700,45,10,2,50,35,
195,Hyland Hills,Bloomington,Minnesota,1075,900,175,35,13,6,60,35,
439,The Rock Snowpark,Milwaukee,Wisconsin,925,700,225,75,10,5,0,36,
208,Coffee Mill Ski Area,Wabasha,Minnesota,1150,725,425,40,14,3,48,37,
412,Hurricane Ridge,Port Angeles,Washington,5500,4800,700,0,10,3,400,37,
433,Whitetail Ridge Ski Area,Fort McCoy,Wisconsin,1050,865,185,0,0,1,0,37,
463,Mount Sima,Whitehorse,Yukon,3900,2857,1043,92,15,3,0,37,
222,Turner Mountain,Libby,Montana,5952,3842,2110,1000,22,1,200,38,
302,Dry Hill Ski Area,Watertown,New York,950,650,300,37,7,3,125,38,
306,White Hills Ski Resort,Clarenville,Newfoundland and Labrador,1227,482,745,55,27,2,100,38,
327,Summit Ski Area,Government Camp,Oregon,4306,4000,306,70,3,2,150,38,
444,Camp 10 Ski Area,Rhinelander,Wisconsin,1740,1510,230,0,15,4,0,38,
76,Hesperus,Durango,Colorado,8888,8200,688,60,26,1,150,39,
130,Mount Crescent,Omaha,Iowa,1500,1200,300,50,11,2,30,39,
161,Cannonsburg Ski Area,Belmont,Michigan,1100,850,250,100,21,10,100,39,
172,The Homestead,Glen Arbor,Michigan,900,580,320,16,15,5,150,39,
215,Maverick Mountain,Dillon,Montana,8820,6800,2020,170,24,2,200,39,
290,Woods Valley Ski Area,Rome,New York,1400,900,500,25,21,6,180,39,
293,Maple Ski Ridge,Schenectady,New York,1200,750,450,25,10,3,0,39,
330,Copper Spur,Hood River,Oregon,4350,4000,350,50,10,4,100,39,
451,Nordic Mountain,Wild Rose,Wisconsin,1137,872,265,60,18,7,80,39,
205,Mount Ski Gull,Nisswa,Minnesota,1515,1285,230,40,10,5,50,40,
1,Cloudmont Resort,Mentone,Alabama,1800,1650,150,9,2,2,0,40,
3,Arctic Valley,Anchorage,Alaska,4000,2500,1500,320,24,3,250,40,
5,Moose Mountain,Fairbanks,Alaska,1985,685,1300,200,40,0,70,40,
6,Mount Aurora Skiland,Fairbanks,Alaska,2435,1408,1027,530,46,2,0,40,
19,Elk Ridge,Williams,Arizona,8150,7500,650,37,10,2,150,40,
121,Villa Olivia,Bartlett,Illinois,500,320,180,15,7,7,25,40,
127,Seven Oaks,Boone,Iowa,975,800,175,35,11,4,40,40,
146,Big Rock,Presque Isle,Maine,1590,670,920,60,27,3,100,40,
155,Otis Ridge Ski Camp,Otis,Massachusetts,1700,1300,400,55,11,5,70,40,
295,Oak Mountain,Speculator,New York,2400,1650,750,46,22,4,120,40,
333,Anthony Lakes,North Powder,Oregon,8000,7100,900,1100,21,3,300,40,
376,Cherry Peak,Richmond,Utah,7050,5775,1265,200,29,3,322,40,
407,Meany Lodge,Easton,Washington,0,0,450,54,32,1,0,40,
429,Christie Mountain,Bruce,Wisconsin,1650,1300,350,45,30,5,48,40,
447,Mont Du Lac Resort,Superior,Wisconsin,920,640,270,10,11,2,55,40,
123,Snowstar Winter Sports Park,Moline,Illinois,790,528,262,28,14,6,38,41,
258,Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12,5,45,41,
114,Kelly Canyon,Idaho Falls,Idaho,6600,5600,1000,640,26,5,200,42,
197,Detroit Mountain,Detroit Lakes,Minnesota,1607,1443,210,45,21,8,0,42,
220,Blacktail Mountain,Kalispell,Montana,6780,5340,1440,1000,26,4,250,42,
250,McIntyre Ski Area,Manchester,New Hampshire,510,340,169,37,10,5,0,42,
285,Holiday Mountain,Monticello,New York,1550,1150,400,37,9,4,50,42,
457,Sleeping Giant,Cody,Wyoming,7428,6619,810,184,49,3,310,42,
38,Shames Mountain,Terrace,British Columbia,3900,2300,1600,225,28,3,480,43,
170,Treetops Resort,Gaylord,Michigan,1345,1120,225,80,23,5,175,43,
446,Little Switzerland Ski Area,Slinger,Wisconsin,1269,1069,200,50,18,8,45,43,
193,Buena Vista Ski Area,Bemidji,Minnesota,1510,1280,230,30,16,5,78,44,
319,Alpine Valley,Chesterland,Ohio,1500,1260,240,72,11,5,120,44,
322,Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18,16,54,44,
450,Sunburst Winter Sports Park,West Bend,Wisconsin,1100,866,214,40,12,9,50,44,
104,Pomerelle Mountain Resort,Albion,Idaho,9000,8000,1000,500,24,2,500,45,
111,Soldier Mountain,Fairfield,Idaho,7177,5756,1400,1180,36,2,0,45,
126,Paoli Peaks,Paoili,Indiana,900,600,300,65,17,8,18,45,
142,Black Mountain of Maine,Lewiston,Maine,2380,1000,1380,300,46,2,120,45,
149,Blandford Ski Area,Blandford,Massachusetts,1490,1025,465,55,29,5,70,45,
150,Blue Hills Ski Area,Boston,Massachusetts,635,326,309,60,8,4,0,45,
173,Timber Ridge,Gobles,Michigan,850,650,200,50,16,8,0,45,
183,Norway Mountain Resort,Norway,Michigan,1335,835,500,186,17,6,100,45,
184,Porcupine Mountains Ski Area,Ontonagon,Michigan,1360,720,640,200,19,3,0,45,
201,Andes Tower Hills,Kensington,Minnesota,1620,1330,290,35,15,6,55,45,
214,Teton Pass,Choteau,Montana,7200,6190,1010,114,26,2,250,45,
224,Beartooth Basin Summer Ski Area,Red Lodge,Montana,10900,9900,1000,600,9,2,0,45,
235,Whaleback Mountain,Enfield,New Hampshire,1800,1100,700,85,30,4,110,45,
267,Sipapu,Taos,New Mexico,9225,8200,1055,200,41,6,190,45,
281,Royal Mountain Ski Area,Johnstown,New York,1800,1250,550,35,14,3,90,45,
313,Sapphire Valley Ski Area,Sapphire,North Carolina,3400,3200,200,8,3,3,24,45,
368,Brian Head,Brian Head,Utah,11307,9600,1548,650,14,8,370,45,
372,Nordic Valley,Ogden,Utah,6400,5440,960,140,23,4,300,45,
416,Sitzmark Lifts,Tonasket,Washington,4950,4300,650,0,11,2,0,45,
453,Christmas Mountain,Wisconsin Dells,Wisconsin,1250,1000,250,40,16,3,20,45,
458,Pine Creek,Cokeville,Wyoming,8200,6875,1325,370,30,2,150,45,
129,Sundown Mountain,Dubuque,Iowa,1059,584,475,55,21,6,45,46,
217,Lost Trail Powder Mountain,Hamilton,Montana,8200,6400,1800,1800,60,8,325,46,
18,Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200,957,200,21,3,180,47,
156,Bosquet Ski Area,Pittsfield,Massachusetts,1818,1068,750,200,23,5,83,47,
196,Buck Hill,Burnsville,Minnesota,1211,949,262,45,16,9,60,47,
209,Snow Creek,Weston,Missouri,1099,799,300,25,12,5,20,47,
278,Willard Mountain,Greenwich,New York,1415,910,505,50,16,5,80,47,
191,Alpine Valley,White Lake,Michigan,500,126,374,100,25,14,20,48,
219,Great Divide,Helena,Montana,7210,5880,1330,1500,140,6,180,48,
299,Snow Ridge Ski Resort,Turin,New York,2000,1350,650,130,21,6,230,48,
348,Ski Sawmill Resort,Morris,Pennsylvania,2215,1700,515,15,14,5,24,48,
351,Spring Mountain Adventure,Schwenksville,Pennsylvania,528,78,450,45,9,6,20,48,
440,Tyrol Basin,Mount Horeb,Wisconsin,1130,870,260,30,16,6,41,48,
455,Hogadon,Casper,Wyoming,8000,7370,630,60,27,2,140,48,
461,Meadowlark Ski Lodge,Ten Sleep,Wyoming,9500,8500,1000,300,14,3,0,48,
102,Powder Ridge,Middlefield,Connecticut,803,377,426,80,19,7,60,49,
133,Ski Mount Abraham,Bethel,Maine,1990,940,1050,650,44,5,115,49,
148,Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34,12,100,49,
179,Pine Mountain Resort,Iron Mountain,Michigan,1650,1150,500,220,31,4,60,49,
204,Mount Kato,Mankato,Minnesota,840,600,240,55,19,11,50,49,
210,Hidden Valley,Wildwood,Missouri,860,540,320,65,17,9,19,49,
216,Showdown,Great Falls,Montana,8200,6800,1400,640,36,4,240,49,
241,Granite Gorge,Keene,New Hampshire,1325,935,390,150,19,3,0,49,
284,Titus Mountain Family Ski Center,Malone,New York,2025,825,1200,380,50,10,150,49,
318,Mad River,Bellafontaine,Ohio,1460,1160,300,144,23,12,36,49,
449,Granite Peak Ski Area,Wausau,Wisconsin,1950,1250,700,220,75,7,75,49,
456,Snowy Range,Centennial,Wyoming,9663,8798,865,250,27,5,245,49,
55,Soda Springs,Soda Springs,California,7325,6673,652,200,15,2,400,50,
185,Bittersweet Ski Resort,Otsego,Michigan,850,450,400,100,20,12,90,50,
202,Powder Ridge,Kimball,Minnesota,850,540,310,60,15,6,45,50,
270,Buffalo Ski Center,Colden,New York,3429,2025,500,225,43,6,0,50,
363,Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14,3,39,50,
371,Beaver Mountain,Logan,Utah,8800,7200,1600,667,47,5,400,50,
406,Ski Bluewood,Dayton,Washington,5670,4454,1216,530,24,3,300,50,
460,White Pine,Pinedale,Wyoming,9500,8450,1050,350,27,2,150,50,
31,Mount Seymour,North Vancouver,British Columbia,4150,935,1083,200,23,5,394,51,
117,Pebble Creek,Pocatello,Idaho,8560,6360,2200,1100,54,3,250,52,
125,Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23,11,23,52,
175,Mont Ripley Ski Area,Hancock,Michigan,1140,700,440,112,25,4,275,52,
211,Discovery,Anaconda,Montana,8158,5770,2388,2200,67,8,150,52,
223,Montana Snowbowl,Missoula,Montana,7600,5000,2600,950,39,4,300,52,
321,Snow Trails,Mansfield,Ohio,1475,1175,300,80,17,7,52,52,
325,Mount Ashland Ski Area,Ashland,Oregon,7533,6383,1150,220,23,5,265,52,
248,Dartmouth Skiway,Lyme,New Hampshire,1943,975,968,104,30,4,100,53,
431,Alpine Valley Resort,Elkhorn,Wisconsin,1040,820,220,90,20,12,80,53,
181,Marquette Mountain Ski Area,Marquette,Michigan,1257,800,457,169,25,4,117,54,
360,Ski Bromont,Bromont,Quebec,1854,590,1264,450,141,9,190,54,
78,Echo Mountain,Evergreen,Colorado,10650,10050,600,226,13,2,275,55,
81,Sunlight Mountain,Glenwood Springs,Colorado,9895,7885,2010,470,67,3,250,55,
158,Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9,6,80,55,
187,Ski Brule,Stambaugh,Michigan,1861,1361,500,150,17,11,150,55,
261,Sandia Peak,Albuquerque,New Mexico,10378,8678,1700,200,39,5,100,55,
328,Mount Hood Skibowl,Government Camp,Oregon,5027,3500,1527,960,65,9,300,55,
417,Loup Loup Ski Bowl,Twisp,Washington,5280,4040,1240,550,10,3,150,55,
430,Trollhaugen,Dresser,Wisconsin,1200,920,280,86,24,10,50,55,
437,Grand Geneva Resort and Spa,Lake Geneva,Wisconsin,1000,789,211,30,20,5,25,55,
207,Wild Mountain,Taylors Falls,Minnesota,1113,813,300,100,26,9,50,56,
253,Attitash Mountain Resort,North Conway,New Hampshire,2350,600,1750,311,68,9,120,56,
336,Hoodoo,Sisters,Oregon,5703,4668,1035,806,32,5,360,56,
272,Toggenburg Mountain Ski Center,Fabius,New York,2000,1300,700,85,22,5,130,57,
287,Thunder Ridge Ski Area,Patterson,New York,1270,670,600,90,21,7,0,57,
8,Eaglecrest,Juneau,Alaska,2750,1130,1620,640,34,4,350,58,
32,Grouse Mountain,North Vancouver,British Columbia,4039,899,1198,212,26,5,120,58,
109,Silver Mountain,Coeur d'Alene,Idaho,6297,4100,2197,1600,67,8,300,58,
154,Ski Bradford,Haverhill,Massachusetts,272,24,248,48,15,10,0,58,
347,Laurel Mountain Ski Resort,Ligonier,Pennsylvania,2800,2000,800,70,20,2,0,58,
352,Montage Mountain Resorts,Scranton,Pennsylvania,1960,960,1000,140,26,9,60,58,
411,The Summit at Snoqualmie,North Bend,Washington,5420,2610,2280,1914,62,27,435,58,
436,Mount La Cross,La Crosse,Wisconsin,1010,594,516,100,19,4,40,58,
9,Mt. Norquay,Banff,Alberta,8040,5500,1650,190,28,5,120,59,
67,Badger Pass,Yosemite National Park,California,8000,7200,800,90,10,5,300,59,
