resort_id,resort_name,city,state_province,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,avg_annual_snowfall,ticket_price,Weather
251,Crotched Mountain Ski and Ride,Manchester,New Hampshire,2066,1050,1016,75,23,5,105,71,
14,Castle Mountain Resort,Pincher Creek,Alberta,7463,4630,2833,3592,94,6,354,71,
54,Snow Valley Mountain Resort,Running Springs,California,7841,6800,1041,240,29,12,150,72,
311,Cataloochee Ski Area,Maggie Valley,North Carolina,5400,4660,740,50,18,5,24,72,
422,Winterplace,Ghent,West Virginia,3600,2997,603,90,28,9,100,72,
23,Kicking Horse Resort,Golden,British Columbia,8218,3900,4314,3486,120,3,295,73,
115,Brundage Mountain,McCall,Idaho,7803,5882,1921,1920,46,5,320,73,
159,Wachusett Mountain,Worcester,Massachusetts,2006,1006,1000,110,22,7,100,73,
346,Roundtop Mountain Resort,Lewisberry,Pennsylvania,1335,755,600,103,20,7,30,73,
25,Sun Peaks Resort,Kamloops,British Columbia,6824,3930,2894,4270,135,12,237,74,
36,Red Mountain Resort,Rossland [32],British Columbia,6807,3887,2919,4200,110,7,300,74,
56,Boreal,Soda Springs,California,7700,7200,500,380,41,8,400,74,
68,Aspen Highlands,Aspen,Colorado,11678,8040,3638,1010,144,5,300,74,
160,Shanty Creek Resort,Bellaire,Michigan,1125,675,450,70,42,8,160,74,
182,Mount Bohemia,Mohawk,Michigan,1500,600,900,585,102,2,273,74,
188,Crystal Mountain,Thompsonville,Michigan,1132,757,375,102,58,8,132,74,
265,Ski Apache,Ruidoso,New Mexico,11500,9600,1900,750,55,8,185,74,
388,Magic Mountain,Londonderry,Vermont,2850,1350,1500,205,51,6,150,74,
135,Shawnee Peak,Bridgton,Maine,0,0,1300,245,44,6,110,75,
176,Boyne Highlands Resort,Harbor Springs,Michigan,1290,745,545,435,55,10,140,75,
238,Pats Peak Ski Area,Henniker,New Hampshire,1460,690,770,103,28,11,100,75,
329,Timberline Lodge,Government Camp,Oregon,8540,4850,3620,1430,35,9,540,75,
391,Burke Mountain,Lyndonville,Vermont,3267,1210,2011,178,50,6,217,75,
419,Mission Ridge,Wenatchee,Washington,6820,4570,2250,2000,36,6,200,75,
27,Big White Ski Resort,Kelowna,British Columbia,7606,4950,2656,2800,118,16,294,76,
91,Wolf Creek Ski Area,Pagosa Springs,Colorado,11904,10300,1604,1600,77,7,465,76,
355,Seven Springs Mountain Resort,Seven Springs,Pennsylvania,2994,2240,750,285,40,14,150,76,
308,Sugar Mountain Resort,Banner Elk,North Carolina,5300,4100,1200,120,21,8,77,77,
17,Sunrise Park,Greer,Arizona,11100,9200,1900,800,65,9,250,78,
354,Camelback Mountain Resort,Scranton,Pennsylvania,2130,1330,800,166,35,16,50,78,
52,Donner Ski Ranch,Norden,California,7781,7031,750,435,52,8,400,79,
57,Dodge Ridge,Sonora,California,8200,6600,1600,832,62,12,300,79,
66,Mountain High,Wrightwood,California,8200,6600,1600,290,59,13,0,79,
94,Silverton Mountain,Silverton,Colorado,13487,10400,3087,1819,48,1,450,79,
228,Lee Canyon,Las Vegas,Nevada,11289,8510,860,385,27,3,161,79,
233,Mount Sunapee Resort,Claremont,New Hampshire,2743,1230,1513,230,66,11,100,79,
274,West Mountain,Glens Falls,New York,1470,460,1010,124,30,7,80,79,
289,Bristol Mountain Ski Resort,Rochester,New York,2150,1000,1150,160,35,6,130,79,
300,Greek Peak Mountain Resort,Virgil,New York,2200,1148,952,220,55,9,122,79,
335,Mount Hood Meadows ,Portland,Oregon,7300,4523,2777,2150,85,11,430,79,
393,Suicide Six,Pomfret,Vermont,1200,550,650,100,23,3,110,79,
397,Mad River Glen,Waitsfield,Vermont,3637,1600,2037,115,52,5,230,79,
403,Massanutten Resort,Harrisonburg,Virginia,2925,1750,1110,70,13,7,35,79,
259,Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46,9,65,80,
260,Mountain Creek,Vernon Township,New Jersey,1480,440,1040,200,41,8,65,80,
282,Belleyare Ski Center,Kingston,New York,3429,2024,1405,173,52,8,141,80,
39,Silver Star Mountain Resort,Vernon,British Columbia,6282,3789,2500,3269,128,12,275,81,
10,Sunshine Village,Banff,Alberta,8954,5440,3514,3358,107,12,360,82,
236,Cannon Mountain Ski Area,Franconia,New Hampshire,4180,1850,2330,265,73,10,160,82,
264,Red River,Red River,New Mexico,10350,8750,1600,209,64,7,214,82,
385,Smuggler's Notch,Jeffersonville,Vermont,3640,1030,2610,1000,78,16,288,82,
221,Whitefish Mountain Resort,Kalispell,Montana,6817,4464,2353,3000,105,14,300,83,
82,Granby Ranch,Granby,Colorado,9202,8202,1000,406,40,5,220,84,
157,Jiminy Peak,Pittsfield,Massachusetts,2375,1125,1140,170,45,8,110,84,
242,Gunstock Mountain Resort,Laconia,New Hampshire,2267,867,1400,227,55,6,120,84,
262,Angel Fire Resort,Angel Fire,New Mexico,10677,8600,2077,30,80,7,210,84,
266,Ski Santa Fe,Santa Fe,New Mexico,12075,10350,1725,660,83,7,225,84,
269,Holiday Valley,Buffalo,New York,2250,1500,750,290,58,13,180,85,
386,Pico Mountain,Killington,Vermont,3967,2000,1967,468,57,7,250,85,
118,Schweitzer,Sandpoint,Idaho,6400,4000,2400,2900,92,7,300,86,
203,Lutsen Mountains,Lutsen,Minnesota,1688,825,863,1000,95,9,115,86,
234,Ragged Mountain Resort,Danbury,New Hampshire,2250,1000,1250,250,57,6,100,87,
177,Nub's Nob Ski Area,Harbor Springs,Michigan,1338,911,427,248,53,10,123,88,
7,Alyeska Resort,Girdwood,Alaska,3939,250,2500,1400,73,9,643,89,
80,Loveland Ski Area,Georgetown,Colorado,13010,10800,2210,1800,94,11,422,89,
254,Cranmore Mountain Resort,North Conway,New Hampshire,2000,600,1200,200,54,10,150,89,
384,Jay Peak,Jay,Vermont,3968,1815,2153,385,79,9,350,89,
22,Fernie Alpine Resort,Fernie,British Columbia,7000,3450,3550,2500,142,10,360,90,
375,Sundance Mountain,Provo,Utah,8250,6100,2150,450,44,5,320,90,
280,Hunter Mountain,Hunter,New York,3200,1600,1600,240,58,10,0,91,
24,Panorama Mountain Resort,Invermere,British Columbia,7792,3773,4019,2847,120,10,196,92,
392,Bromley Mountain Resort,Manchester,Vermont,3284,1950,1334,178,47,9,168,92,
41,Whistler Blackcomb,Whistler,British Columbia,7494,2140,5280,8171,200,26,404,93,
61,Tahoe Donner,Truckee,California,7350,6750,600,120,10,3,400,94,
92,Monarch,Salida,Colorado,11960,10790,1170,800,63,5,400,94,
275,Gore Mountain Ski Resort,Glens Falls,New York,3600,1000,2600,428,109,15,150,94,
402,Wintergreen,Charlottesville,Virginia,3515,2512,1003,129,26,5,35,94,
369,Powder Mountain,Eden,Utah,9422,6900,2205,8464,167,9,500,95,
230,Bretton Woods,Bretton Woods,New Hampshire,3100,1600,1500,464,62,10,200,96,
408,Crystal Mountain,Enumclaw,Washington,7012,3912,3100,2600,57,12,350,96,
303,Windham Mountain,Windham,New York,3100,1500,1600,279,52,12,0,98,
454,Grand Targhee Resort,Alta,Wyoming,10121,7851,2270,2602,99,5,500,98,
16,Arizona Snowbowl,Flagstaff,Arizona,11500,9200,2300,777,40,7,260,99,
48,China Peak,Lakeshore,California,8709,7030,1673,1200,45,11,300,99,
50,Mount Baldy Ski Lifts,Mount Baldy,California,8600,6500,2100,800,26,4,170,99,
77,Purgatory Resort,Durango,Colorado,10822,8793,2029,1200,85,10,260,99,
227,Diamond Peak,Incline Village,Nevada,8540,6700,1840,655,30,6,225,99,
326,Mt Bachelor,Bend,Oregon,9065,5700,3365,4318,101,11,462,99,
370,Snowbasin,Huntsville,Utah,9350,6391,2959,3000,104,11,350,99,
377,Brighton Ski Resort,Salt Lake City,Utah,10500,8755,1745,1500,66,6,500,99,
164,Boyne Mountain,Boyne City,Michigan,1120,620,500,41,60,10,140,102,
246,Loon Mountain Resort,Lincoln,New Hampshire,3050,950,2100,370,61,12,163,104,
283,Whiteface Mountain,Lake Placid,New York,4650,1220,3430,314,87,11,0,104,
11,Marmot Basin,Jasper,Alberta,8570,5570,3000,1675,86,8,160,105,
42,Bear Valley,Angels Camp,California,8500,6600,1900,1280,67,10,359,105,
137,Sugarloaf,Carrabassett Valley,Maine,4237,1417,2820,1153,154,14,200,105,
343,Liberty Mountain Resort,Gettysburg,Pennsylvania,1190,570,620,100,22,9,31,105,
85,Arapahoe Basin,Keystone,Colorado,13050,10520,2530,1428,147,9,350,109,
99,Winter Park Resort,Winter Park,Colorado,12060,9000,3060,3000,143,25,365,109,
144,Sunday River,Newry,Maine,3140,800,2340,870,153,18,155,109,
423,Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60,14,180,109,
64,Sierra-at-Tahoe,Twin Bridges,California,8852,6640,2212,2000,46,12,480,110,
268,Taos Ski Valley,Taos,New Mexico,12481,9200,3281,1294,110,14,300,110,
415,Stevens Pass,Stevens Pass,Washington,5845,4061,1800,1125,37,10,450,111,
74,Crested Butte,Crested Butte,Colorado,12170,9115,3055,1547,121,16,300,113,
43,Bear Mountain,Big Bear Lake,California,8805,7104,1665,198,24,12,100,115,
44,Snow Summit,Big Bear Lake,California,8174,6965,1209,240,30,14,100,115,
378,Solitude Mountain,Salt Lake City,Utah,10488,7988,2500,1200,80,8,500,115,
382,Mount Snow,Dover,Vermont,3600,1900,1700,600,86,20,156,118,
35,Revelstoke Mountain Resort,Revelstoke,British Columbia,7300,1680,5620,3121,75,5,413,119,
46,June Mountain,June Lake,California,10090,7545,2590,500,35,7,250,119,
47,Kirkwood,Kirkwood,California,9800,7800,2000,2300,86,15,500,119,
389,Okemo Mountain,Ludlow,Vermont,3344,1144,2200,632,119,19,200,119,
240,Wildcat Mountain,Jackson,New Hampshire,4062,1950,2112,225,48,5,207,120,
53,Sugar Bowl,Norden,California,8383,6883,1500,1500,94,13,500,121,
379,Alta Ski Area,Salt Lake City,Utah,10550,8530,2020,2200,116,10,560,125,
387,Killington Ski Resort,Killington,Vermont,4241,1165,3050,1509,155,21,250,125,
400,Stratton Mountain Resort,Winhall,Vermont,3875,1872,2003,670,99,11,171,125,
398,Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111,16,269,128,
89,Eldora Mountain Resort,Nederland,Colorado,10800,9200,1600,680,53,12,300,129,
119,Sun Valley,Sun Valley,Idaho,9150,5750,3400,2154,121,18,0,133,
229,Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260,1800,1200,60,8,396,135,
